fips_code,crime_rate_per_100000,crime_id,murder,rape,robbery,burglary
29510,1791.995377,1,119,200,1778,4995
48261,1456.31068,4,0,3,1,5
24510,1419.537569,6,216,317,3638,7804
47157,1315.003752,7,135,483,3512,14011
29201,1163.145839,12,2,7,26,236
42101,1150.29633,13,332,881,7984,12004
47113,1138.42383,16,13,33,196,1300
26163,1065.188284,19,433,803,5879,19882
2188,1014.964216,21,0,23,12,46
29155,998.7095326,22,0,6,21,192
5119,959.9165823,24,61,179,1058,7065
40101,954.4400666,27,3,34,41,878
22105,952.8593755,29,11,64,185,2683
4019,930.0694974,33,4,42,37,450
27133,892.8571429,40,0,0,0,9
19155,873.5225606,42,1,79,83,1166
48353,871.1844118,43,0,27,10,143
2150,856.0311284,44,0,8,10,23
17201,854.9331535,45,15,196,553,2939
26145,828.830479,47,29,126,242,1751
13121,826.1767583,49,123,216,3365,11091
5107,818.6675817,52,1,8,26,478
17167,817.9969369,53,40,160,318,2104
37155,809.8427036,56,13,32,273,2937
20119,805.8945429,57,0,1,0,5
17163,782.1542957,62,28,183,349,2426
48135,781.9089826,64,5,44,163,1090
13261,752.455044,73,0,4,40,741
48303,740.6920961,76,12,139,328,3400
48131,738.8316151,78,1,0,5,105
48315,732.7796776,80,1,9,5,115
2185,722.6925459,84,1,14,3,36
40143,719.1412721,87,45,381,1122,7291
12107,717.8582747,88,5,37,51,1029
48245,710.8948399,89,20,114,554,3147
48201,696.1038338,94,307,1143,12449,43644
48249,695.7773512,95,13,17,7,467
40109,694.8738489,96,83,398,1137,10118
29133,693.1802269,98,2,4,6,128
29119,673.8186009,106,1,4,4,110
12123,673.754211,107,3,10,6,117
13305,668.2847358,108,8,6,24,318
13225,658.9175983,115,0,2,19,286
37107,650.100146,121,1,18,76,796
48233,646.2257665,123,0,20,5,184
51760,644.9835135,124,44,43,640,2068
13301,629.7229219,136,0,0,1,30
37127,628.8580653,137,11,17,100,1125
48355,616.5739392,149,18,194,392,2723
20173,615.5337693,150,24,273,513,4575
20125,615.303861,152,1,17,17,303
5131,612.5237549,156,6,77,97,1261
13107,612.2359732,157,2,6,14,253
5139,604.5117216,162,1,4,36,522
17143,603.941007,163,14,53,347,1809
48393,601.6847172,167,0,1,0,1
48489,597.6004744,173,0,14,4,226
48375,592.6303417,177,5,60,154,1218
20209,590.457901,181,16,90,286,1834
13287,590.1155643,182,0,6,4,46
13143,582.5583436,187,1,6,4,310
47163,578.5625339,192,3,56,70,1077
21111,576.7462264,195,78,266,1557,8103
51595,572.6556908,199,0,3,5,71
26107,570.6597383,201,0,20,0,181
22123,566.9428696,205,0,0,0,49
17183,565.1757149,206,4,63,88,955
22101,562.1649889,211,1,19,41,412
6103,561.3968314,213,3,17,36,451
13127,559.4542867,216,6,13,125,957
51730,559.3459955,217,5,7,59,395
51710,558.2211677,218,34,88,502,2327
37119,556.9251355,223,54,240,1886,8340
1119,553.8507597,228,1,2,4,99
47119,552.7632192,229,5,28,45,518
13277,551.0599216,233,5,18,45,369
12103,550.6712247,234,44,361,1206,7392
51770,550.4493983,235,9,39,141,939
13255,546.7734102,243,3,24,82,797
48469,543.1643489,244,6,48,50,761
5123,542.9200293,245,4,7,45,465
54105,542.2809693,246,0,1,0,42
13161,539.8560384,248,1,0,3,115
47125,536.6094754,252,12,60,104,1171
48227,533.9308933,257,3,20,12,303
13237,533.4331571,258,0,7,13,173
29141,532.938564,259,3,0,1,154
13317,529.4705295,263,1,1,1,50
26121,529.2150075,264,4,119,192,1800
37181,522.2281735,272,11,8,97,1029
4013,522.1046922,273,1,17,9,366
29213,520.7652823,275,0,10,26,351
37117,519.0092409,276,3,4,32,425
47107,517.7585449,277,0,18,37,483
48475,515.8306652,280,2,5,2,70
40123,513.2659507,285,3,25,11,292
48177,512.0126034,287,2,15,4,166
51640,511.7270789,289,0,10,1,17
19111,504.4560283,298,0,9,5,254
48381,503.6608315,300,6,56,126,1094
8101,501.7002063,303,8,22,199,1962
47109,501.1476664,305,0,4,5,153
1123,497.5365871,309,3,6,17,296
48123,497.4881725,310,0,10,5,124
37165,496.8771686,312,7,5,33,761
22117,495.4867619,314,6,22,36,552
48183,492.5868123,318,7,72,145,1241
48273,492.1965048,319,1,5,18,370
13215,490.5731077,321,17,31,424,2712
20177,488.1703955,326,19,46,244,1585
46103,486.9469842,327,5,143,55,716
48179,481.7081109,334,0,2,6,269
51740,481.2639676,335,11,43,181,1220
40125,473.593974,349,4,32,22,659
51750,471.3687151,352,1,9,8,108
19139,469.2314875,356,0,40,7,259
48127,468.0187207,357,0,4,2,167
47103,466.8034371,358,2,6,6,196
20155,464.2467674,360,2,28,26,637
27123,462.49008,364,15,233,730,4257
6107,462.4094173,365,33,115,412,4364
37153,459.0022627,373,8,24,49,974
47121,454.9746759,379,2,9,1,75
13245,454.9437385,380,28,90,546,3186
48343,451.9245753,383,0,1,4,114
48231,451.4750482,385,1,21,65,869
4017,450.3540195,388,7,51,107,1200
48291,449.8940279,390,1,18,36,544
1113,449.7776286,391,2,24,70,776
29109,447.8198245,394,1,7,6,330
51540,446.4587702,395,2,16,50,165
47149,444.0822833,399,6,93,195,1694
1127,443.9528471,400,2,16,56,780
20103,443.8191469,401,0,24,34,464
19163,443.70103,402,4,50,156,1059
47141,443.3866032,404,0,21,34,711
48113,442.965072,405,165,706,4889,25141
47123,435.2148459,417,5,3,10,337
5143,434.8227901,420,7,131,70,1285
29105,434.5753778,421,1,6,5,158
48487,434.0872744,423,1,14,1,89
48211,432.9004329,425,0,0,0,16
1125,432.2257134,428,10,56,234,1932
12127,431.3099042,432,19,96,422,4095
48485,430.1498709,435,6,46,154,1439
48479,429.3415113,438,8,86,187,1825
13233,427.3608042,441,3,12,49,580
48219,424.9893753,445,1,16,9,223
26153,424.3967503,446,0,15,1,71
19187,423.8203218,447,0,24,16,241
48401,423.3337063,448,0,16,24,381
17187,423.1073,450,0,4,2,133
29209,421.7656644,452,1,5,1,160
48309,421.5652577,453,9,115,218,2237
47169,421.5636178,454,0,3,1,31
48495,420.7204838,457,0,0,1,17
37191,420.603132,458,20,8,108,1576
47185,419.1434233,460,1,6,6,169
48433,418.9944134,461,0,0,0,2
47167,418.9263794,462,5,19,32,368
51700,416.9871443,466,21,52,271,1038
48439,416.156389,468,73,687,2167,16077
51670,415.1062582,472,2,3,32,209
1109,413.929632,476,4,6,21,316
29167,413.2498224,477,1,8,2,215
13221,412.4278251,478,1,12,4,112
48507,411.319513,479,1,0,2,58
48111,410.9394927,481,1,4,1,51
29217,410.5207886,483,0,4,9,242
13299,408.8605114,489,3,7,44,309
47179,404.632565,496,1,20,60,1004
37195,400.406529,505,9,6,78,895
48481,400.3299689,506,1,8,24,296
39113,399.5550961,508,32,251,933,5833
37147,399.3963148,509,11,36,207,1763
51630,398.1231338,512,2,1,21,87
17127,398.0627612,513,1,11,3,45
1101,396.6310625,515,45,45,465,3656
29169,396.2938156,517,3,16,18,349
47153,395.0684558,519,0,3,3,114
47147,394.7583218,520,3,20,53,305
12111,393.958833,524,7,104,223,2001
48463,393.6715442,525,3,7,3,181
51620,393.6096319,526,1,4,11,40
48311,392.6701571,528,0,0,0,9
48471,392.3449148,529,1,45,15,434
48423,391.9844502,531,6,91,115,1890
28149,391.9698038,532,2,26,31,368
37129,391.5279907,533,9,46,300,2447
48141,391.4376636,535,28,220,507,2361
6115,388.6010363,538,6,27,39,612
13181,387.0468327,540,0,0,4,59
17115,386.17105,546,6,35,111,1090
29203,385.6815717,549,0,2,0,28
4015,385.2132189,551,1,8,3,178
13179,385.1251267,553,2,26,41,601
28107,383.6986222,554,5,5,6,627
22113,383.1029653,556,7,18,32,458
22109,382.2650312,558,5,26,100,764
13155,381.8818288,562,0,9,0,73
13257,381.5753611,565,4,5,15,161
48349,380.9484158,567,0,30,37,579
48241,378.6922494,571,2,32,7,201
47177,377.8306018,573,1,16,9,262
13105,377.5702842,574,2,3,9,204
39153,377.428833,575,27,256,656,4547
13273,376.8565728,577,2,1,1,81
21209,376.3989829,579,1,26,33,352
48185,376.0378272,582,1,7,8,187
17161,374.8523,588,4,42,80,721
48213,373.6892278,593,2,48,18,657
54109,373.6044137,594,1,5,7,131
13147,373.3396212,595,0,3,6,200
1133,372.7325437,597,1,12,3,177
17125,371.9820326,599,0,10,3,46
48263,371.7472119,600,0,0,0,5
28133,371.4683716,601,2,5,28,275
13253,368.921185,605,1,1,4,55
38105,368.305457,607,1,17,2,92
48441,367.5894928,610,3,42,126,1083
47143,366.0074432,614,0,4,8,201
19127,365.9072059,615,1,1,6,319
51550,365.1803566,616,12,36,202,1044
47129,365.0467716,617,2,5,4,161
31109,364.6022704,620,4,192,201,1755
20151,364.4462442,624,0,3,1,64
48415,364.1197549,626,1,9,4,108
29149,363.7686431,629,1,0,1,38
29179,363.6914684,630,3,0,0,33
13217,363.1181305,632,5,26,54,986
48277,362.1575689,633,5,10,37,441
12131,361.1617369,638,1,14,18,375
5111,360.3230483,640,2,23,7,217
19183,358.8462412,643,0,13,1,61
48395,357.8794128,645,0,3,5,126
13247,357.8043926,646,1,14,56,804
13111,357.7441077,648,0,3,2,172
13115,356.9154987,652,5,25,56,903
5103,355.9715223,655,2,1,11,240
48361,355.6059163,657,1,16,47,675
37139,355.1687051,659,3,0,39,348
12121,354.415329,661,1,2,17,337
47131,353.3455398,663,0,11,12,220
48153,353.1300161,665,1,2,1,41
17199,352.6388142,666,0,14,14,507
2110,352.1126761,667,0,9,16,94
48293,351.5390551,671,2,10,7,246
48335,350.9891512,673,0,0,0,83
40141,350.1491376,674,0,1,2,68
48203,348.3539156,678,3,12,20,597
12105,348.309575,679,39,126,421,5796
48437,347.8036841,681,0,1,2,54
51520,346.0008073,685,2,5,17,114
37169,345.5825534,687,2,5,9,452
48453,345.4200618,688,32,236,997,8244
51680,344.8099059,692,3,36,46,367
48409,343.226938,695,4,35,16,517
29186,343.120711,696,1,3,1,38
48195,342.0342034,700,0,0,3,20
18141,341.1958352,704,21,91,388,2626
13275,340.9926675,705,3,13,32,536
28143,340.9090909,706,4,10,13,77
17165,340.8316292,707,0,3,4,198
51181,339.985218,708,1,0,3,30
47183,339.6226415,709,2,3,4,194
13175,339.5904081,710,3,4,54,486
20169,339.0742734,712,2,25,26,493
17153,338.5240352,713,0,3,2,27
37187,337.9971703,714,0,1,11,98
13235,337.8963784,716,0,2,2,80
4027,337.8629242,717,13,116,210,2383
22127,337.5413488,718,1,0,8,102
47117,337.2952136,719,1,7,1,152
13173,336.2797848,726,0,4,4,83
1131,336.0749978,727,0,1,5,45
28137,334.8253621,728,1,5,16,153
47101,334.420199,731,0,3,4,52
6101,333.508128,732,5,26,45,758
20175,333.4758444,733,0,13,7,163
47155,333.4402052,734,1,30,44,1364
8121,333.1251301,737,0,3,0,15
