fire_emergency_id,name,address,city_id
1949887,Saugatuck Township Fire District,3342 Blue Star Highway,1840003113
1949889,Lucan Fire Department,409 2nd Street,1840008960
1949911,Camilla Fire Department,80 West Broad Street,1840013877
1949918,Chula Vista Fire Department - Station 3,100 Moss Street,1840019350
1949928,Pecan Gap Volunteer Fire Department,110 South 3rd Street,1840020626
1949932,Greensboro Fire Department Station 17,6405 Old Oak Ridge Road,1840013356
1949953,Pittsfield Township Fire Department Station 1,6227 West Michigan Avenue,1840003172
1949958,Riverside County Fire Department Station 88 - City of Indio Fire Station 3,46621 Madison Street,1840019304
1949962,Lake Arrowhead Volunteer Fire Department Station A,3250 West Arrowhead Drive,1840020547
1949968,Caddo Fire District 3 Station 4,Jolly Napier Road,1840015768
1949975,Thruston - Philpot Volunteer Fire Department Station 1,2592 Reid Road,1840014340
1949992,Sarcoxie Fire Department,401 Cross Street,1840009912
1950018,Plano Fire Department Station 10,3540 McDermott Road,1840020662
1950034,Lafayette Fire Department,401 North 111th Street,1840020180
1950093,Livingston Fire Department,20550 Circle Drive,1840017184
1950105,Eugene Springfield Fire Station 3,1225 28th Street,1840021263
1950110,Bowmanstown Volunteer Fire Company District 2,259 Lime Street,1840000929
1950132,Cherokee County Fire and Emergency Services Station 29,3451 Cumming Highway,1840014703
1950134,Carrizozo Volunteer Fire Department,400 Airport Road,1840022870
1950172,Forest View Fire Department,7010 West 46th Street,1840011277
1950176,English Mountain Volunteer Fire Department,1564 Wilhite Creek Road,1840015359
1950179,Phelps Volunteer Fire Department,12812 State Highway 632,1840013228
1950185,Jasper Fire Department,210 West Hatley Street,1840015028
1950197,Palma - Briensburg Fire Department,3287 State Route 95,1840013275
1950209,Cody Volunteer Fire Department,1125 11th Street,1840018595
1950220,Benton Township Volunteer Fire Department,1317 Morgans Fork Road,1840034369
1950223,Kissimmee River Volunteer Fire Station 17,3801 Camp Lester Road,1840015107
1950234,Ham Lake Fire Department Station 1,15544 Central Avenue Northeast,1840006720
1950262,Webster Fire Department Station 1,18300 Highway 3,1840022204
1950263,Center Township Volunteer Fire Department Station 36,3385 Brodhead Road,1840001009
1950267,Glencoe Volunteer Fire Department Station 25,50083 2nd Street,1840026548
1950269,Melstone Volunteer Fire Department and Quick Response Unit,401 Main Street,1840022322
1950286,Caney Creek Fire and Rescue Station 83,12051 Farm to Market Road 3083,1840019586
1950300,Brussels - Point Fire Protection District,155 A Community Avenue,1840010664
1950301,Mount Gilead Volunteer Fire and Rescue,2351 Sullivan Knowles Road,1840015354
1950303,Statesville Fire Department Station 1,316 South Meeting Street,1840015358
1950314,Saint Tammany Parish Fire District 7 Station 1,73649 State Highway 41,1840017182
1950320,Comfort Volunteer Fire Department,224 Farm To Market Road 473,1840018257
1950323,Salado Volunteer Fire Department Station 1,205 Stagecoach Road,1840023130
1950341,Bethany Beach Volunteer Fire Company Station 1,215 Hollywood Street,1840006072
1950342,Calumet Volunteer Fire Department,Main Street,1840022731
1950354,Dorchester County Fire Department Station 6,1475 State Highway 61,1840018041
1950371,Nevada Fire Department,316 West Cherry Street,1840008690
1950402,Artesia Fire Department Station 2,309 North 7th Street,1840019443
1950442,Emmett Fire Department,231 South Washington Avenue,1840020000
1950447,Dayton Fire Department,1001 Bill Moreau Drive,1840019599
1950461,Pottsville Fire Department Station 50 - West End Hose Company,1219 West Market Street,1840002775
1950474,Austin Fire Department Station 27,5401 McCarty Lane,1840019590
1950479,Possum Kingdom West Side Volunteer Fire Department,4809 Green Acres Road,1840020688
1950522,Bell Township Volunteer Fire Department - Station 67,201 Main Street,1840003626
1950578,Fate Fire Department,128 East Fate Main Place,1840020715
1950604,Mid - Columbia Fire and Rescue,1400 West 8th Street,1840021212
1950608,Tipp City Fire Department,520 West Main Street,1840010507
1950621,Friendship Fire Department,3391 Green Branch Road,1840013763
1950663,Roberts Park Fire Protection District Station 1,8611 South Roberts Road,1840011253
1950689,Central Hickory Fire Hermitage - Station 3,18636 Cedar,1840007554
1950708,Bangor Township Fire Department - Station 7,3921 Wheeler Road,1840002583
1950730,Hillsborough County Fire Rescue Station 10 Armdale,8430 North Grady Avenue,1840015982
1950738,Demopolis Fire Department Station 3,1715 US Highway 80 East,1840014897
1950746,Los Angeles County Fire Department Station 92,8905 East Avenue U,1840019204
1950750,South Malvern Volunteer Fire Department,256 Jester Lane,1840015563
1950761,Palm Harbor Fire Rescue Station 66,1123 Illinois Avenue,1840014143
1950768,Rural Township Fire Department,1245 Oak Street,1840009611
1950775,Saxman Fire Department Station 5,2714 South Tongass Highway,1840023270
1950787,District of Columbia Fire and EMS Engine Company 14,4801 North Capitol Street Northeast,1840006060
1950810,Elk Bend Fire Protection District Station 2,201 Garnet Road,1840021213
1950816,Southeast Lamar Volunteer Fire Department - Station 1,6893 US Highway 11,1840015873
1950828,Saint Landry Parish Fire District 2 Waxia Substation,2049 State Highway 359,1840017175
1950831,Sparkill Palisades Fire Department,520 State Highway 340,1840026341
1950838,Plantation Fire Department Station 25,5200 West Broward Boulevard,1840015142
1950843,Wantagh Hook Ladder and Engine Company 1 Station 6,2995 Jerusalem Avenue,1840005281
1950850,Fowlkes Volunteer Fire Department,645 State Highway 210 South,1840013372
1950881,Aberdeen Fire Department House 1,21 North Rogers Street,1840005666
1950916,Valero Refinery Fire Department,3400 East 2nd Street,1840018858
1950917,Citrus County Fire Rescue Station 18,5000 West Oak Park Boulevard,1840014059
1950921,Gwinnett County Fire and Emergency Services Station 10,1131 Rock Springs Road,1840014745
1950922,Marietta Volunteer Fire Department,5371 West Marietta Railroad Street,1840009561
1950924,Webster Fire Department Station 2,18208 Egret Bay Boulevard,1840020925
1950944,Heartland Fire and Rescue La Mesa Station 12,8844 Dallas Street,1840020625
1950957,Warner Volunteer Fire Department,214 East US Highway 64,1840022724
1950967,Hanover County Fire - EMS Company 6 - Henry Volunteer Fire Station,9634 Chamberlayne Road,1840006340
1950990,Forestville Volunteer Fire Department Station 823,8321 Old Marlboro Pike,1840031466
1951007,Fairmont Fire Department Station 2 East Side,916 Morgantown Avenue,1840005732
1951008,Kankakee Fire Department Station 4,100 North Fairmont Avenue,1840008260
1951026,Huntington Beach Fire Department Station 4,21441 Magnolia Street,1840020578
1951028,Bald Knob Volunteer Fire Department Station 3,3713 State Highway 367,1840013438
1951037,Pagosa Fire Protection District Station 4 Highway 160 East,1529 E US Highway 160,1840022565
1951041,Gilbert Fire Department Station 1,2730 East Williams Field Road,1840021947
1951046,Brookneal Volunteer Fire Department,103 Wickliffe Avenue,1840006439
1951047,Rosston Volunteer Fire Department,Beaver Street,1840021620
1951050,Calera Fire Department Station 5,300 East Smiser Avenue,1840022897
1951065,Saint George Fire Department Station 66,16415 George O'Neal Road,1840013941
1951077,Detroit Fire Department Engine 34,6345 Livernois Avenue,1840003971
1951078,Habersham County Fire Department Station 16 - Amys Creek,6357 State Highway 17,1840014660
1951087,Boeing Fire Department,300 Industrial Highway,1840000708
1951095,Moro Rural Fire District,309 Dewey Street,1840019937
1951100,Lefthand Fire Protection District Station 2,7761 Overland Road,1840022426
1951106,Franklin County Fire District 3 Station 31,5640 Pasco Kahlotus Highway,1840019888
1951111,Washington Township Volunteer Fire Department Station 2,196 Washburn Avenue,1840000945
1951122,Clinton Township Fire Department,1177 East 604th Road,1840001632
1951138,Mesa Fire Department Station 207,2505 South Dobson Road,1840020566
1951143,Mississippi Forestry Commission Pearl River County Office,3969 State Highway 53,1840015003
1951153,Asheville Fire and Rescue Station 10,1903 Old Haywood Road,1840013411
1951156,Lenox Volunteer Fire Department,255 Booths Point Road,1840036058
1951159,Cambridge Fire Department Station 5,1384 Cambridge Street,1840000429
1951176,Fort Plain Fire Department,168 Canal Street,1840004402
1951178,Zetus Volunteer Fire Department Station 1,482 Watts Lane Northwest,1840013862
1951187,Angelina River Volunteer Fire Department,297 County Road 080,1840019560
1951195,Wichita Fire Department Station 4,2423 West Irving Street,1840001686
1951196,Philadelphia Fire Department Station 1,106 County Road 307,1840014507
1951207,Brookfield Fire Department Station 2,4125 North Calhoun Road,1840003012
1951219,Northeast Crensahw Volunteer Fire Department,44 Community House Road,1840004042
1951221,Ventura County Fire Department Station 22,466 South La Luna Avenue,1840020473
1951242,Crescent Fire Department Station 2,2241 South River Road,1840002046
1951251,Mellott Volunteer Fire Department,109 East Clay Street,1840009443
1951265,Hillsboro Area Volunteer Fire Department,17577 State Highway 20,1840016589
1951280,Lawrence - Cedarhurst Fire Department,75 Washington Avenue,1840005303
1951286,Mendocino National Forest Fire Service United States Department of Agriculture,825 North Humboldt Avenue,1840021438
1951290,Hoboken Fire Department Station 2,43 Madison Street,1840003599
1951302,Edgewood Volunteer Fire Department Thunder Mountain Station,18 Dinkle Road,1840074899
1951306,Olla Volunteer Fire Department Station 2,1957 Central Avenue,1840017060
1951315,Houston Fire Department Station 96,7409 Willow Chase Boulevard,1840020925
1951317,Forsyth County Fire Department Station 8,6015 Keith Bridge Road,1840014712
1951319,Golden Valley Fire Department Station 12,749 South Egar Road,1840018339
1951330,New Melle Fire Protection District Station 2,3719 State Highway D,1840024597
1951340,North Sabine Fire Protection District Noble Station 1,423 State Highway 1218,1840018160
1951384,South Adams County Fire Department Station 1,4711 East 69th Avenue,1840018785
1951416,Walkertown Fire Department Station 22,5225 Main Street,1840016125
1951433,Lewisburg Volunteer Fire Department Headquarters,105 West Foster Street,1840006285
1951441,Culloden Volunteer Fire Department,2102 3rd Street,1840006210
1951450,Reva Volunteer Fire and Rescue Company,18230 Birmingham Road,1840006169
1951456,North Haverhill Fire Department,2834 Dartmouth College Highway,1840033204
1951461,Hermantown Volunteer Fire Department Station 3,4494 Midway Road,1840006593
1951483,Exeter Township Fire Department Station 25 - 3,5580 Boyertown Pike,1840001172
1951485,Roby Community Volunteer Fire Department,5050 Roby Road,1840016325
1951499,Kasota Fire Department,200 North Webster Street,1840007884
1951501,Hyder Volunteer Fire Department,149 Main Street,1840023524
1951503,Carlsbad Fire Department Station 2,2415 West Church Street,1840019444
1951530,Atlantic Highlands Fire Department,10 East Highland Avenue,1840003685
1951554,Alverno Fire Department Station 4,7000 US Highway 23,1840002047
1951557,Aurora Fire Department Station 3,600 West Indian Trail,1840007034
1951559,Houston Fire Department Station 39,5810 Pickfair Street,1840020925
1951574,Public Service Electric and Gas Nuclear Limited Liability Company EMS,Alloway Creek Neck Road MC-X11,1840024373
1951582,Trumann Fire Station,801 West Main Street,1840015406
1951589,Trammel Volunteer Fire Department,2699 Trammel Road,1840015271
1951593,Lake Maumelle Fire and Rescue Station,20720 Clay Street,1840022810
1951597,Alpha - Mastodon Township Volunteer Fire Department Station 1 Headquarters,1371 South US Highway 2,1840001970
1951610,Porterville Fire Department Station 72,500 North Newcomb Street,1840020368
1951626,Green Mountain Volunteer Fire Department,13013 South Shawdee Road Southeast,1840005061
1951646,Townshend Volunteer Fire Department,208 Grafton Road,1840152970
1951665,North County Fire Protection District Station 2,2180 Winterwarm Drive,1840018019
1951674,Booker Bridge Fire Department,Miller County Road 14,1840013752
1951678,Berkeley Fire Department Station 2,9265 Natural Bridge Road,1840007450
1951688,Indian Creek Volunteer Fire Department,5357 State Highway 158,1840007426
1951700,Cheat Lake Volunteer Fire Department,409 Fairchance Road,1840005647
1951707,Woodsboro Fire Department,202 Johnson Street,1840023165
1951717,Cuthbert Fire Department,668 Blakely Street,1840014939
1951722,Monarch Fire Department,1508 Lockhart Highway,1840015533
1951740,White Deer Volunteer Fire Department,207 South Omohundro Street,1840022747
1951746,Sandyston Volunteer Fire Department Station 2,117 County Road 560,1840000785
1951756,Pleasant Hill Fire Department,5151 Maple Drive,1840009219
1951841,Palisade Fire Department,48052 Nature Avenue,1840008842
1951842,Shawano Area Fire Department,308 North Main Street,1840002266
1951843,Bells Fire Department,12987 US Highway 79,1840013394
1951846,Fairfax County Fire and Rescue Department Station 31 Fox Mill,2610 Reston Parkway,1840006037
1951864,Madison Volunteer Fire Department Station 3,815 West Main Street,1840009728
1951869,Newton Fire Department Station 1 Headquarters,119 South Brady Avenue,1840014523
1951886,Los Angeles Fire Department Station 46,4370 South Hoover Street,1840020491
1951896,Moonachie Borough Fire Department,111 Moonachie Road,1840000907
1951918,Columbus Division of Fire Station 2 John W Nance Fire Station,150 East Fulton Street,1840003760
1951924,Addison Fire Department Station 2,3950 Beltway Drive,1840022057
1951955,New Hope Fire Department,2610 State Highway 156,1840015471
1951983,McKinley Volunteer Fire Department,Parks Highway,1840023382
