city_id,food_banks_id,food_bank_name,address,status
1840000455,4,The Greater Boston Food Bank,70 South Bay Ave,Stabilizing
1840000319,6,Good Shepherd Food Bank,3121 Hotel Road,Stable
1840002983,7,New Hampshire Food Bank,700 East Industrial Park Drive,Stable
1840003289,8,Rhode Island Community Food Bank,200 Niantic Ave.,Stable
1840002186,9,Vermont Foodbank,33 Parker Road,Stable
1840004953,15,Feeding Westchester,200 Clearbrook Road,Stabilizing
1840000378,16,Food Bank of Central New York,7066 Interstate Island Road,Stable
1840000472,17,Food Bank of the Southern Tier,388 Upper Oakwood Avenue,Stabilizing
1840000386,18,FeedMore WNY,91 Holt Street,Unstable
1840000373,19,"Foodlink, Inc.",1999 Mt. Read Boulevard,Stable
1840005233,20,Island Harvest,15 Grumman Road West Suite 1450,Stabilizing
1840005077,21,"Long Island Cares, Inc.",10 Davids Drive,Stabilizing
1840033905,22,Regional Food Bank of Northeastern New York,965 Albany Shaker Rd.,Stable
1630035637,23,Banco de Alimentos de Puerto Rico,Urbanization Country Club Park C / 272 IC4,Stabilizing
1840006060,24,Capital Area Food Bank,4900 Puerto Rico Ave NE,Stabilizing
1840005578,25,Food Bank of Delaware,222 Lake Drive,Stable
1840001288,27,Central Pennsylvania Food Bank,3908 Corey Road,Stable
1840003441,28,Community Food Warehouse of Mercer County,109 S Sharpsville Avenue,Stable
1840001185,29,Helping Harvest,117 Morgan Drive,Stable
1840001224,30,Greater Pittsburgh Community Food Bank,1 North Linden Street,Stabilizing
1840000766,31,H and J Weinberg NE PA Regional Food Bank,185 Research Drive,Stable
1840000673,32,Philabundance,3616 S. Galloway Street,Stabilizing
1840000974,33,Second Harvest Food Bank of Lehigh Valley and NE Pennsylvania,6969 Silver Crest Road,Stable
1840000478,34,Second Harvest Food Bank of Northwest Pennsylvania,1507 Grimm Drive,Stabilizing
1840003628,35,Westmoreland County Food Bank,100 Devonshire Drive,Stabilizing
