hospital_id,name,address,status,ownership_information,city_id
1336420,ANDALUSIA HEALTH,"849 SOUTH THREE NOTCH STREET, PO BOX 760",OPEN,PROPRIETARY,1840004591
1535611,ATHENS LIMESTONE HOSPITAL,700 WEST MARKET STREET,OPEN,PROPRIETARY,1840000935
136502,ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DR,OPEN,NON-PROFIT,1840013888
236124,BAPTIST MEDICAL CENTER EAST,"400 TAYLOR ROAD, PO BOX 241267",OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840008353
1736111,BAPTIST MEDICAL CENTER SOUTH,"2105 EAST SOUTH BOULEVARD, PO BOX 11010",OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840008353
436693,BAYPOINTE BEHAVIORAL HEALTH,5800 SOUTHLAND DRIVE,OPEN,NON-PROFIT,1840006009
1836049,BEACONS CHILDREN'S HOSPITAL,150 HOSPITAL DRIVE,OPEN,PROPRIETARY,1840004042
2035042,BIBB MEDICAL CENTER,208 PIERSON AVENUE,OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840007089
196784204,BROOKWOOD BAPTIST MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,OPEN,PROPRIETARY,1840014794
2135401,BRYCE HOSPITAL,200 UNIVERSITY BOULEVARD,OPEN,GOVERNMENT - STATE,1840005563
8236089,BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,OPEN,PROPRIETARY,1840004415
1636083,CENTRAL ALABAMA VETERANS HEALTH CARE SYSTEM EAST CAMPUS,2400 HOSPITAL ROAD,OPEN,NOT AVAILABLE,1840004337
735233,CHILDREN'S HOSPITAL OF ALABAMA,1600 SEVENTH AVENUE SOUTH,OPEN,NON-PROFIT,1840006507
2836904,CHOCTAW GENERAL HOSPITAL,401 VANITY FAIR DRIVE,OPEN,NON-PROFIT,1840015823
3035161,CITIZENS BAPTIST MEDICAL CENTER,"604 STONE AVENUE, PO BOX 978",OPEN,PROPRIETARY,1840008244
3236251,CLAY COUNTY HOSPITAL,"83825 HIGHWAY 9, PO BOX 1270",OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840006738
3336078,"COMMUNITY HOSPITAL, INC",805 FRIENDSHIP ROAD,OPEN,NON-PROFIT,1840015790
3435150,COOSA VALLEY MEDICAL CENTER,315 WEST HICKORY STREET,OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840015700
3536049,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840004042
8435801,CRESTWOOD MEDICAL CENTER,1 HOSPITAL DRIVE,OPEN,PROPRIETARY,1840005061
91036116,CROSSBRIDGE BEHAVIORAL HEALTH A BAPTIST SOUTH FACILITY,4385 NARROW LANE ROAD,OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840008353
3735055,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,OPEN,NON-PROFIT,1840001354
3836427,D. W. MCMILLAN MEMORIAL HOSPITAL,"1301 BELLEVILLE AVENUE, PO DRAWER 908",OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840006146
836360,DALE MEDICAL CENTER,126 HOSPITAL AVENUE,OPEN,GOVERNMENT - LOCAL,1840005283
935401,DCH REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840005563
3935601,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,1201 SEVENTH STREET SOUTHEAST,OPEN,PROPRIETARY,1840001403
1035601,DECATUR MORGAN HOSPITAL - PARKWAY CAMPUS,1874 BELTLINE ROAD SW,OPEN,PROPRIETARY,1840001403
1135601,DECATUR MORGAN WEST,"2205 BELTLINE ROAD SW, PO BOX 2240",OPEN,PROPRIETARY,1840001403
4135968,DEKALB REGIONAL MEDICAL CENTER,"200 MEDICAL CENTER DRIVE, PO BOX 680778",OPEN,PROPRIETARY,1840004822
5036854,EAMC - LANIER,4800 48TH STREET,OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840015760
1236801,EAST ALABAMA MEDICAL CENTER,2000 PEPPERELL PARKWAY,OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840005210
4336526,EASTPOINTE HOSPITAL,7400 ROPER LANE,OPEN,PROPRIETARY,1840006178
4536092,ELMORE COMMUNITY HOSPITAL,"500 HOSPITAL DRIVE, PO BOX 130",OPEN,PROPRIETARY,1840006013
5835209,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,OPEN,PROPRIETARY,1840006507
2236301,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,1736 EAST MAIN STREET,OPEN,PROPRIETARY,1840001518
5935903,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF GADSDEN,801 GOODYEAR AVENUE,OPEN,PROPRIETARY,1840006332
2336116,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE ROAD,OPEN,PROPRIETARY,1840008353
90235801,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF NORTH ALABAMA,107 GOVERNORS DRIVE SW,OPEN,PROPRIETARY,1840005061
196784285,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SHELBY COUNTY,900 OAK MOUNTAIN COMMONS LANE,OPEN,PROPRIETARY,1840014826
4636401,EVERGREEN MEDICAL CENTER,"101 CRESTVIEW AVENUE, PO BOX 706",OPEN,PROPRIETARY,1840001842
4835555,FAYETTE MEDICAL CENTER,"1653 TEMPLE AVENUE NORTH, PO DRAWER 710",OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840006295
1636302,FLOWERS HOSPITAL,"4370 WEST MAIN STREET, PO BOX 6907",OPEN,PROPRIETARY,1840001518
2735960,FLOYD CHEROKEE MEDICAL CENTER,400 NORTHWOOD DRIVE,OPEN,PROPRIETARY,1840001099
4935903,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,OPEN,PROPRIETARY,1840006332
13535243,GRANDVIEW MEDICAL CENTER,3690 GRANDVIEW PARKWAY,OPEN,PROPRIETARY,1840006507
5235462,GREENE COUNTY HEALTH SYSTEM,509 WILSON AVENUE,OPEN,GOVERNMENT - LOCAL,1840001838
5536451,GROVE HILL MEMORIAL HOSPITAL,"295 JACKSON HIGHWAY S, PO BOX 935",OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840005924
5736744,HALE COUNTY HOSPITAL,508 GREENE STREET,OPEN,GOVERNMENT - LOCAL,1840006442
6035660,HELEN KELLER MEMORIAL HOSPITAL,"1300 SMONTGOMERY AVENUE, PO BOX 610",OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840015537
6135768,HIGHLANDS MEDICAL CENTER,"380 WOODS COVE ROAD, PO BOX 1050",OPEN,GOVERNMENT - DISTRICT/AUTHORITY,1840005605
2935212,HILL CREST BEHAVIORAL HEALTH SERVICES,"6869 FIFTH AVENUE, SOUTH",OPEN,PROPRIETARY,1840006507
