local_law_id,name,address,type_of_law_enforcement,city_id
1004101,HIRAM POLICE DEPARTMENT,217 MAIN STREET,LOCAL POLICE DEPARTMENT,1840014758
1004058,GLENNVILLE POLICE DEPARTMENT,201 SOUTH CHURCH STREET,LOCAL POLICE DEPARTMENT,1840013832
1008255,SIMMESPORT POLICE DEPARTMENT,372 MISSION DRIVE,LOCAL POLICE DEPARTMENT,1840018188
1007969,DUBBERLY POLICE DEPARTMENT,1748 BRUSHWOOD DRIVE,LOCAL POLICE DEPARTMENT,1840018064
1009889,SEBEWAING POLICE DEPARTMENT,125 WEST MAIN STREET,LOCAL POLICE DEPARTMENT,1840013153
1009662,MICHIGAN SENATE POLICE DEPARTMENT,125 WEST ALLEGAN STREET,SPECIAL JURISDICTION,1840003102
1009508,FOWLERVILLE POLICE DEPARTMENT,213 SOUTH GRAND AVENUE,LOCAL POLICE DEPARTMENT,1840011078
1009603,IONIA DEPARTMENT OF PUBLIC SAFETY,239 EAST ADAMS STREET,LOCAL POLICE DEPARTMENT,1840003075
1007743,OLIVE HILL POLICE DEPARTMENT,225 ROGER PATTON DRIVE,LOCAL POLICE DEPARTMENT,1840014289
1009351,BRIDGEPORT TOWNSHIP POLICE DEPARTMENT,6206 DIXIE HIGHWAY,LOCAL POLICE DEPARTMENT,1840004227
1009371,CALUMET POLICE DEPARTMENT,340 6TH STREET,LOCAL POLICE DEPARTMENT,1840010907
1007829,VANCEBURG POLICE DEPARTMENT,189 SECOND STREET,LOCAL POLICE DEPARTMENT,1840015187
1009469,TAWAS POLICE AUTHORITY,810 WEST WESTOVER STREET,LOCAL POLICE DEPARTMENT,1840002517
1007690,CRITTENDEN COUNTY SHERIFFS OFFICE,107 SOUTH MAIN STREET,SHERIFF'S OFFICE,1840015248
1009540,GRAND RAPIDS POLICE DEPARTMENT - TRAINING UNIT,1 MONROE CENTER STREET NORTHWEST,LOCAL POLICE DEPARTMENT,1840002928
1009594,HOWELL POLICE DEPARTMENT,611 EAST GRAND RIVER AVENUE,LOCAL POLICE DEPARTMENT,1840003100
1006834,UTICA POLICE DEPARTMENT,107 NORTH FOURTH STREET,LOCAL POLICE DEPARTMENT,1840010787
1009897,SOUTH ROCKWOOD POLICE DEPARTMENT,5676 CARLETON ROCKWOOD ROAD,LOCAL POLICE DEPARTMENT,1840013159
1007603,KENTON COUNTY POLICE DEPARTMENT,11777 MADISON PIKE,LOCAL POLICE DEPARTMENT,1840014267
1009022,NEW CARROLLTON CITY POLICE DEPARTMENT,6016 PRINCESS GARDEN PARKWAY,LOCAL POLICE DEPARTMENT,1840005978
1007486,PARK HILLS POLICE DEPARTMENT,1106 AMSTERDAM ROAD,LOCAL POLICE DEPARTMENT,1840014263
1008903,BOWIE POLICE DEPARTMENT,2614 KENHILL DRIVE,LOCAL POLICE DEPARTMENT,1840005970
1009835,RICHMOND POLICE DEPARTMENT,36725 DIVISION ROAD,LOCAL POLICE DEPARTMENT,1840003091
1007749,OWINGSVILLE POLICE DEPARTMENT,19 GOODPASTER AVENUE,LOCAL POLICE DEPARTMENT,1840014316
1007554,GREENSBURG POLICE DEPARTMENT,105 WEST HODGENVILLE AVENUE,LOCAL POLICE DEPARTMENT,1840013243
1007542,CITY OF FULTON POLICE DEPARTMENT,340 BROWDER STREET,LOCAL POLICE DEPARTMENT,1840013296
1006570,KOKOMO POLICE DEPARTMENT,100 SOUTH UNION STREET,LOCAL POLICE DEPARTMENT,1840013844
1006269,MADISON COUNTY SHERIFFS DEPARTMENT / MADISON COUNTY JAIL,720 CENTRAL AVENUE,SHERIFF'S OFFICE,1840007242
1009138,BREWER POLICE DEPARTMENT,151 PARKWAY SOUTH,LOCAL POLICE DEPARTMENT,1840000239
1009669,LATHRUP VILLAGE POLICE DEPARTMENT,27400 SOUTHFIELD ROAD,LOCAL POLICE DEPARTMENT,1840002448
1006265,ANDERSON POLICE DEPARTMENT,1040 MAIN STREET,LOCAL POLICE DEPARTMENT,1840007242
1007076,JACKSON COUNTY SHERIFFS OFFICE,210 UNITED STATES HIGHWAY 75,SHERIFF'S OFFICE,1840001542
1009971,WIXOM POLICE DEPARTMENT,49045 PONTIAC TRAIL,LOCAL POLICE DEPARTMENT,1840000407
1009896,SOUTH LYON POLICE DEPARTMENT,219 WHIPPLE STREET,LOCAL POLICE DEPARTMENT,1840002432
1009147,CARIBOU POLICE DEPARTMENT,25 HIGH STREET,LOCAL POLICE DEPARTMENT,1840000145
1007718,MOUNT VERNON POLICE DEPARTMENT,124 RICHMOND STREET,LOCAL POLICE DEPARTMENT,1840014371
1009379,CARSON CITY POLICE DEPARTMENT,123 EAST MAIN STREET,LOCAL POLICE DEPARTMENT,1840002876
1009550,GREENVILLE DEPARTMENT OF PUBLIC SAFETY,415 SOUTH LAFAYETTE STREET,LOCAL POLICE DEPARTMENT,1840002877
1009263,WESTBROOK POLICE DEPARTMENT,570 MAIN STREET,LOCAL POLICE DEPARTMENT,1840000329
1007510,ELKTON POLICE DEPARTMENT,73 PUBLIC SQUARE,LOCAL POLICE DEPARTMENT,1840013272
