fips_code,population_estimate_2020,population_estimate_2021,population_estimate_2022,population_estimate_2023
1001,58915,59203,59726,60342
1003,233227,239439,246531,253507
1005,24969,24533,24700,24585
1007,22188,22359,21986,21868
1009,59107,59079,59516,59816
1011,10229,10143,10143,9897
1013,19025,18890,18668,18382
1015,116243,115678,115780,116429
1017,34651,34488,34164,34079
1019,24969,25074,25353,25666
1021,45057,45259,45848,46431
1023,12626,12548,12431,12252
1025,22987,22740,22574,22337
1027,14212,14170,14183,14111
1029,15064,15156,15372,15639
1031,53549,54199,54840,55643
1033,57304,57644,57993,58361
1035,11554,11320,11224,11174
1037,10335,10314,10307,10268
1039,37506,37570,37603,37952
1041,13163,13069,13048,13101
1043,88136,89639,90663,92016
1045,49257,49395,49495,49871
1047,38171,37515,36729,36165
1049,71659,71912,72082,72569
1051,87861,88789,89600,90441
1053,36685,36660,36636,36558
1055,103453,103010,102903,103241
1057,16331,16127,16082,15967
1059,32078,31998,31910,31802
1061,26698,26620,26760,26988
1063,7700,7614,7452,7341
1065,14772,14726,14599,14888
1067,17169,17433,17670,17899
1069,107284,107470,108047,108462
1071,52545,52719,52923,53467
1073,674717,669990,665084,662895
1075,13953,13736,13706,13661
1077,94025,94853,95875,96814
1079,33089,33073,33187,33502
1081,174754,177596,180698,183215
1083,104203,107303,110868,114654
1085,10285,9945,9783,9717
1087,19464,18905,18532,18370
1089,390503,396671,403605,412600
1091,19270,18985,18791,18684
1093,29176,29001,29182,29244
1095,97702,98286,99428,100756
1097,414377,413383,411398,411640
1099,19706,19550,19412,19229
1101,228342,226935,226301,224980
1103,123288,123375,124231,125133
1105,8458,8328,7904,7738
1107,18969,18618,18749,18688
1109,32900,32746,33008,33137
1111,22086,22184,22460,22786
1113,59258,58681,58594,58744
1115,91657,92874,93881,95552
1117,223912,227453,230033,233000
1119,12191,11967,11889,11727
1121,81575,80734,80748,81132
1123,41284,41099,40913,40677
1125,231547,235670,236690,237373
1127,65138,64636,64438,64728
1129,15329,15223,15094,15022
1131,10534,10423,10139,9944
1133,23493,23655,23741,23611
2013,3427,3417,3430,3461
2016,5214,5147,5090,5160
2020,290893,289169,286983,286075
2050,18661,18594,18259,18224
2060,830,842,870,844
2063,7080,6971,6899,6769
2066,2614,2621,2609,2674
2068,1614,1595,1575,1584
2070,4838,4796,4724,4607
2090,95337,95593,95202,94840
2100,2084,2074,2070,2070
2105,2358,2330,2279,2262
2110,32209,31979,31740,31555
2122,58942,59946,60611,61223
2130,13915,13866,13772,13738
2150,13047,12878,12639,12565
2158,8371,8377,8214,8001
2164,1450,1419,1377,1331
2170,107504,110998,113472,115239
2180,10029,9894,9791,9763
2185,11004,11054,10811,10603
2188,7797,7635,7453,7361
2195,3403,3381,3370,3427
2198,5741,5720,5650,5696
2220,8426,8383,8353,8282
2230,1238,1147,1092,1095
2240,6821,7007,7016,7077
2275,2126,2102,2071,2064
2282,682,710,685,687
2290,5309,5278,5169,5129
4001,65913,65389,65533,65036
4003,125527,126119,125487,124640
4005,145192,142897,144223,144472
4007,53351,53549,53922,54003
4009,38646,38921,38822,39525
4011,9528,9400,9327,9369
4012,16569,16385,16535,16710
4013,4445059,4499438,4555833,4585871
4015,214185,217164,220905,223682
4017,106763,107726,108800,109175
4019,1045175,1048914,1057476,1063162
4021,430187,448993,465037,484239
4023,47712,47956,48680,49158
4025,237217,242352,246230,249081
4027,205659,207284,208874,213221
5001,17107,16687,16498,16307
5003,18957,18654,18348,18262
5005,41686,42224,42485,42875
5007,286618,294297,302822,311013
5009,37381,37894,38280,38530
5011,10495,10343,10168,10104
5013,4736,4728,4687,4641
5015,28240,28539,28717,28814
5017,10156,10052,9834,9538
5019,21385,21244,21276,21274
5021,14529,14362,14271,14201
5023,24704,25028,25253,25445
5025,7552,7486,7467,7378
5027,22744,22490,22286,22150
5029,20730,20902,21021,21077
5031,111619,111794,112863,113993
5033,60142,60430,61041,61891
5035,48076,47438,47051,47139
5037,16795,16672,16590,16420
5039,6444,6309,6196,6185
5041,11324,11048,10758,10479
5043,17313,17057,16912,16945
5045,123820,125608,127565,129951
5047,17139,17166,17270,17468
5049,12054,12147,12355,12421
5051,100258,100393,99982,99784
5053,18018,18123,18129,18383
5055,45864,46341,46408,46743
5057,19989,19667,19481,19343
5059,33075,33079,33149,33258
5061,12757,12695,12622,12533
5063,37940,38100,38254,38320
5065,13602,13921,14029,14169
5067,16761,16781,16654,16784
5069,66830,65637,64295,63661
5071,25724,25957,25970,26129
5073,6293,6159,6129,6095
5075,16218,16329,16194,16318
5077,8526,8560,8367,8201
5079,12890,13168,12910,12898
5081,11974,11973,11865,11805
5083,21100,21229,21258,21400
5085,74055,74770,75199,75944
5087,16545,16944,17463,17775
5089,16873,16984,17289,17514
5091,42588,42494,42608,42415
5093,40538,39534,38863,38663
5095,6776,6648,6568,6512
5097,8485,8635,8543,8620
5099,8284,8184,8179,8120
5101,7196,7167,7101,7071
5103,22615,22312,21994,21793
5105,9997,9995,10073,10184
5107,16440,15825,15350,14961
5109,10162,10114,10159,10208
5111,22954,22691,22453,22397
5113,19177,19333,19334,19436
5115,63410,63778,64053,64593
5117,8249,8095,8077,8036
5119,399274,398108,399387,400009
5121,18595,18839,18852,18907
5123,23021,22715,22402,22101
5125,123826,125382,127415,129574
5127,9834,9795,9796,9851
5129,7840,7893,7906,7806
5131,127808,128342,129109,129098
5133,15778,15714,15738,15632
5135,17314,17691,17836,17968
5137,12349,12441,12585,12671
5139,38931,38375,37813,37397
5141,15799,15777,16103,16142
5143,246774,251767,256682,261549
5145,76860,77109,77616,78452
5147,6224,6146,6057,5964
5149,20212,20135,20091,20044
6001,1680466,1644047,1628259,1622188
6003,1205,1229,1190,1141
6005,40525,41228,41493,41811
6007,210151,206336,207369,207172
6009,45348,46249,46556,46565
6011,21864,21919,21909,22037
6013,1166069,1163941,1157019,1155025
6015,27604,27584,27112,26589
6017,191245,193704,192787,192215
6019,1009552,1013103,1015359,1017162
6021,28904,28718,28360,28129
6023,136262,134897,134944,133985
6025,179612,179138,178940,179057
6027,18987,18924,18742,18527
6029,905910,912709,916751,913820
6031,152844,152775,152987,152682
6033,68199,68645,68172,67878
6035,32315,31885,30020,28861
6037,9992813,9809462,9719765,9663345
6039,156345,158966,160329,162858
6041,261306,259278,256154,254407
6043,17119,17127,17053,16919
6045,91367,91321,90007,89108
6047,281830,284610,290210,291920
6049,8681,8641,8619,8500
6051,13228,13271,13002,13066
6053,438322,437158,432884,430723
6055,137459,136265,134370,133216
6057,102265,103517,102401,102037
