fips_code,poverty_percentage,poverty_percentage_under_18,poverty_percentage_5_17
1001,10.7,16.1,15.6
1003,10.8,16.4,15.2
1005,23,35.1,33.8
1007,20.6,29,29
1009,12,16.7,15.9
1011,32.1,41.7,43.2
1013,22.7,34.2,34.2
1015,19.2,25.2,24.7
1017,19.7,32.2,31.8
1019,18.2,26.6,25.1
1021,15.5,22.4,20.6
1023,23.3,32.4,32.4
1025,19.4,29.2,28.4
1027,18.4,27.6,26.9
1029,15,22.1,21.1
1031,15.9,24.2,20.7
1033,16.5,23.6,21
1035,22.4,33.9,33.7
1037,17.1,29.9,29.3
1039,19.8,28.3,26.5
1041,17.5,28.9,27.6
1043,13.5,17.5,16.4
1045,15.7,22.7,21.2
1047,29.5,45.4,43.7
1049,19.4,29.3,24
1051,12,17.3,16.6
1053,23.8,29.9,30.2
1055,17.4,25,24
1057,19.6,26.5,24.9
1059,18.9,25.1,24.2
1061,21.1,29.1,27.2
1063,33.2,51.8,49.1
1065,22.1,32.6,31.9
1067,15.6,24.6,23.3
1069,19.1,27.1,27
1071,18.9,27,25.9
1073,16.9,23.6,23.9
1075,17,24.7,23
1077,16.2,22.8,21.4
1079,13.9,23,21.8
1081,18,18.4,16.9
1083,9.9,11.8,11.3
1085,28.3,43,43.2
1087,27.5,42.9,42.3
1089,10.2,13.9,12.7
1091,24.6,34.2,33.8
1093,18.3,24.5,23.4
1095,15.6,22.3,22.2
1097,18.2,24.8,23
1099,22.3,33.2,32.9
1101,21.7,33.5,31.6
1103,13.5,17,15.1
1105,33.7,50.3,48.6
1107,21.1,30.1,29.1
1109,23.9,30,29
1111,21.5,30.1,28.6
1113,21.7,31,32.3
1115,12.8,16.8,15.9
1117,7.7,9.1,8.5
1119,35.1,48.1,47.3
1121,19.1,27.1,26.4
1123,18.3,27.9,26.4
1125,14.7,18.3,18.1
1127,20.2,27.7,25.5
1129,20.6,30.6,30.1
1131,32.4,49.4,50.2
1133,19,26.9,25.5
2013,18.4,15.7,13.8
2016,10.4,7,6.2
2020,9.5,11.3,10.8
2050,24.6,26.8,27.2
2060,11.3,20,19.4
2063,7.7,9.5,8.9
2066,14.3,18.5,16.3
2068,7.5,7.6,6.7
2070,21.8,31,29.9
2090,7.9,9.4,8.9
2100,10.8,17.4,16.8
2105,17,26.2,25.3
2110,7.6,8.9,8
2122,11.5,13.8,13.1
2130,11.3,13.4,12.2
2150,8.5,8.9,7.9
2158,30.4,40.6,41
2164,20.6,28,28.5
2170,10.5,11.6,10.7
2180,19.8,23.6,22.4
2185,12.4,15.5,13.4
2188,20.9,28.4,25.3
2195,8,10.5,9.3
2198,15,22.9,20.4
2220,8.6,10.7,9.6
2230,6.1,9.3,7.8
2240,12.9,15.6,14.9
2275,11.3,16.9,16
2282,12.2,19,17.4
2290,23.7,32.1,28.6
4001,28.4,34.7,31.8
4003,17.1,26,25.2
4005,16.9,19.4,17.6
4007,16.8,27.3,24.6
4009,20.4,23.3,23.7
4011,9.5,11.2,10.6
4012,20.3,31.2,30.4
4013,11.3,15.4,14.3
4015,18,30.4,28.1
4017,24.8,33.8,32.7
4019,14.7,20.4,19.7
4021,10.7,14.3,13.8
4023,20.4,30.8,27.6
4025,12.5,19.2,16.5
4027,17.3,25,25.1
5001,17.7,25.1,23.2
5003,21.3,31.2,27
5005,13.4,18.7,17.2
5007,7.9,10.9,9.2
5009,13,19.7,17.4
5011,19.6,26.8,25.2
5013,14.6,19.3,18
5015,16.8,24.7,24.1
5017,27.9,37,34.2
5019,20,24.7,22.6
5021,17.9,26,23.3
5023,16.7,26.2,24.9
5025,14.1,20.7,18.6
5027,23.2,34.1,29.5
5029,16.9,25.7,21.4
5031,18.2,24.2,22.1
5033,14.7,20.9,19.8
5035,23,32.1,30.1
5037,16.7,25,23.8
5039,20.2,32.6,29.8
5041,27.6,37.5,32.6
5043,16.5,25.2,24.5
5045,13.6,14.3,13
5047,17.2,24.9,21.3
5049,18,29.2,25.5
5051,14.5,21.2,19.6
5053,11.2,15.9,14.7
5055,12.9,18.6,15.4
5057,21.2,27.8,25.4
5059,17.8,27,25.3
5061,17.9,26.5,24.7
5063,18.9,22.3,22.3
5065,18.4,27.2,25.9
5067,22.5,29.5,26.7
5069,20.3,28.8,27
5071,18.1,23.3,21.2
5073,23.7,32.6,32.3
5075,20.4,30.3,28.8
5077,34.9,45.4,43.3
5079,22.6,25.1,21.6
5081,15.7,25,23.3
5083,15.4,21.5,21.9
5085,11,14.6,13.4
5087,15.4,22.7,21.1
5089,17.8,30.7,26.8
5091,20.4,30.2,25.9
5093,23.9,31.2,30.3
5095,25.3,36.5,35.4
5097,19.9,29.6,28.6
5099,21.2,32.2,28.3
5101,19.1,30,28.6
5103,20.2,29.4,26.7
5105,15.2,23.9,21.5
5107,35.7,45.9,43.2
5109,18.6,25.2,22.4
5111,22.2,30.3,27.3
5113,19.3,28.8,26.4
5115,18,23.1,21.3
5117,15.7,23.5,22.3
5119,17.6,24.9,24.6
5121,17,24.4,24.1
5123,32.2,42.2,37.8
5125,8.5,12.1,11
5127,17.3,29.5,26.6
5129,20.9,32,30
5131,19.5,23.4,22.4
5133,18.3,26,23.7
5135,18.3,28.4,26.3
5137,20.8,34.7,32.9
5139,17.8,23.9,22.2
5141,17.1,27.1,24.5
5143,12.4,15.2,13.7
