fips_code,unemployment_rate_2020,unemployment_rate_2021,unemployment_rate_2022
1001,5.300000000000001,2.8,2.3
1003,6.100000000000001,2.9,2.4
1005,7.7,5.5,4.100000000000001
1007,7.300000000000001,3.4,2.5
1009,4.5,2.4,2.2
1011,6.0,3.9,2.8
1013,9.5,5.100000000000001,3.4
1015,7.7,4.0,3.0
1017,7.4,3.6,2.6
1019,5.100000000000001,2.5,2.3
1021,5.4,2.8,2.3
1023,7.300000000000001,4.3,3.8
1025,9.8,5.800000000000001,5.0
1027,4.4,2.7,2.3
1029,5.0,2.6,2.4
1031,4.800000000000001,2.8,2.5
1033,7.2,3.9,3.0
1035,7.9,4.7,3.5
1037,6.0,3.0,2.5
1039,5.4,3.0,2.6
1041,6.2,3.3,2.6
1043,4.7,2.3,2.1
1045,5.300000000000001,3.1,2.6
1047,11.6,7.100000000000001,5.0
1049,4.9,2.5,2.3
1051,5.300000000000001,2.7,2.2
1053,6.7,4.0,3.1
1055,8.4,4.0,3.0
1057,5.5,3.1,2.7
1059,4.9,2.5,2.3
1061,4.5,2.8,2.4
1063,11.7,6.5,4.4
1065,10.2,5.5,3.9
1067,5.300000000000001,3.2,2.7
1069,5.9,3.3,2.6
1071,5.800000000000001,2.8,2.5
1073,6.800000000000001,3.5,2.6
1075,5.300000000000001,3.0,2.7
1077,6.100000000000001,3.1,2.6
1079,5.4,2.9,2.4
1081,5.7,2.8,2.4
1083,4.7,2.4,2.1
1085,14.4,8.700000000000001,5.2
1087,10.4,5.800000000000001,3.8
1089,5.100000000000001,2.6,2.1
1091,6.800000000000001,4.2,3.4
1093,5.5,2.8,2.5
1095,4.600000000000001,2.4,2.1
1097,8.6,4.600000000000001,3.2
1099,8.8,5.5,4.100000000000001
1101,8.5,4.7,3.1
1103,4.9,2.6,2.1
1105,11.8,7.9,5.300000000000001
1107,7.2,4.0,3.3
1109,5.4,3.2,2.7
1111,5.2,2.7,2.5
1113,5.7,3.0,2.6
1115,5.300000000000001,2.6,2.2
1117,4.2,2.1,1.8
1119,7.600000000000001,4.4,3.5
1121,7.7,4.100000000000001,3.1
1123,7.5,4.0,2.9
1125,7.2,3.5,2.5
1127,6.4,3.6,2.8
1129,8.700000000000001,4.600000000000001,3.6
1131,15.9,10.5,7.800000000000001
1133,5.100000000000001,2.7,2.4
2013,4.100000000000001,2.5,2.0
2016,4.7,3.8,3.1
2020,7.9,5.9,3.3
2050,12.3,13.1,8.8
2060,7.9,5.600000000000001,4.3
2063,8.700000000000001,2.5,2.9
2066,10.8,3.3,9.3
2068,17.4,10.5,6.300000000000001
2070,8.8,8.3,5.600000000000001
2090,6.7,5.2,3.7
2100,16.4,11.2,6.600000000000001
2105,14.1,9.3,5.600000000000001
2110,7.0,4.800000000000001,2.8
2122,9.600000000000001,7.300000000000001,4.5
2130,10.2,7.4,3.8
2150,6.7,6.600000000000001,4.3
2158,20.8,19.5,12.9
2164,11.4,8.700000000000001,5.800000000000001
2170,8.8,6.9,4.600000000000001
2180,11.1,9.700000000000001,6.9
2185,6.2,6.5,5.0
2188,12.7,11.5,9.0
2195,9.1,7.0,5.800000000000001
2198,9.8,8.200000000000001,5.5
2220,7.300000000000001,4.600000000000001,2.8
2230,21.6,13.6,6.7
2240,7.800000000000001,6.600000000000001,5.2
2275,9.200000000000001,7.5,5.100000000000001
2282,8.6,7.100000000000001,5.100000000000001
2290,12.7,12.3,7.9
4001,12.7,9.200000000000001,7.7
4003,6.9,5.100000000000001,4.4
4005,9.600000000000001,6.2,4.3
4007,7.600000000000001,5.2,4.2
4009,6.2,4.3,3.6
4011,5.300000000000001,4.100000000000001,2.9
4012,7.100000000000001,5.300000000000001,4.7
4013,7.300000000000001,4.600000000000001,3.3
4015,9.9,5.7,4.5
4017,10.0,6.600000000000001,5.2
4019,7.600000000000001,5.100000000000001,3.8
4021,7.4,4.9,3.9
4023,11.3,8.8,7.5
4025,7.4,4.3,3.5
4027,17.1,13.1,12.5
5001,4.100000000000001,3.4,3.3
5003,9.5,7.300000000000001,5.5
5005,6.100000000000001,3.8,3.6
5007,4.5,2.8,2.4
5009,5.4,3.0,2.9
5011,6.0,4.800000000000001,5.0
5013,5.300000000000001,3.4,3.1
5015,5.800000000000001,3.5,2.9
5017,10.7,8.5,6.2
5019,6.100000000000001,4.800000000000001,4.5
5021,6.2,4.0,4.0
5023,7.800000000000001,4.7,4.2
5025,6.2,4.100000000000001,3.9
5027,7.0,5.4,4.4
5029,6.2,4.2,3.7
5031,5.4,3.3,2.8
5033,5.5,3.6,3.2
5035,8.5,5.5,4.0
5037,6.2,4.4,3.7
5039,5.5,4.2,4.0
5041,7.2,6.0,5.300000000000001
5043,7.100000000000001,5.100000000000001,4.4
5045,5.600000000000001,3.5,2.9
5047,5.800000000000001,3.8,3.3
5049,5.300000000000001,3.7,3.4
5051,8.1,4.9,3.8
5053,5.300000000000001,3.3,3.1
5055,6.100000000000001,3.5,3.3
5057,5.300000000000001,3.6,3.3
5059,5.9,3.9,3.5
5061,5.100000000000001,3.3,3.3
5063,5.9,3.9,3.4
5065,8.6,5.5,5.2
5067,7.4,5.300000000000001,5.0
5069,8.200000000000001,6.5,5.2
5071,6.5,4.800000000000001,4.100000000000001
5073,7.800000000000001,5.800000000000001,4.800000000000001
5075,6.300000000000001,4.3,3.6
5077,7.800000000000001,5.7,4.600000000000001
5079,6.100000000000001,4.600000000000001,4.5
5081,6.7,4.600000000000001,3.9
5083,6.800000000000001,4.3,3.8
5085,5.7,3.4,2.8
5087,4.0,3.1,2.5
5089,6.600000000000001,4.3,3.7
5091,7.100000000000001,4.9,3.9
5093,9.3,7.100000000000001,5.2
5095,6.800000000000001,5.4,4.4
5097,7.100000000000001,5.0,4.800000000000001
5099,6.0,4.100000000000001,3.9
5101,5.2,3.1,3.0
5103,6.2,4.0,3.9
5105,5.7,4.2,3.6
5107,9.4,7.7,6.300000000000001
5109,6.0,4.5,3.7
5111,5.7,3.9,3.4
5113,6.800000000000001,4.5,3.7
5115,6.0,4.100000000000001,3.9
5117,5.5,3.7,3.0
5119,7.600000000000001,4.9,3.5
5121,6.100000000000001,4.0,3.4
5123,8.1,6.2,4.9
5125,5.100000000000001,3.2,2.8
5127,4.600000000000001,3.4,2.8
5129,6.5,4.4,4.5
5131,6.100000000000001,3.8,3.1
5133,6.0,4.5,3.9
5135,7.300000000000001,5.0,4.100000000000001
5137,7.2,5.100000000000001,4.2
5139,8.5,6.100000000000001,4.800000000000001
5141,7.300000000000001,4.9,4.3
5143,4.7,2.9,2.3
5145,6.4,4.100000000000001,3.5
5147,5.9,5.100000000000001,3.5
5149,5.2,4.100000000000001,3.8
6001,8.9,6.100000000000001,3.3
6003,11.7,8.200000000000001,5.4
6005,9.4,7.0,4.4
6007,9.4,6.9,4.5
6009,7.800000000000001,5.800000000000001,3.6
6011,16.4,12.5,11.6
6013,9.0,6.4,3.5
6015,9.700000000000001,7.600000000000001,5.100000000000001
6017,8.5,5.800000000000001,3.4
6019,11.7,9.1,6.4
