fips_code,state_id,county_name,state_name
36081,NY,Queens,New York
6037,CA,Los Angeles,California
17031,IL,Cook,Illinois
12086,FL,Miami-Dade,Florida
48201,TX,Harris,Texas
48113,TX,Dallas,Texas
42101,PA,Philadelphia,Pennsylvania
13121,GA,Fulton,Georgia
11001,DC,District of Columbia,District of Columbia
25025,MA,Suffolk,Massachusetts
4013,AZ,Maricopa,Arizona
26163,MI,Wayne,Michigan
53033,WA,King,Washington
6075,CA,San Francisco,California
6073,CA,San Diego,California
27053,MN,Hennepin,Minnesota
12057,FL,Hillsborough,Florida
36047,NY,Kings,New York
8031,CO,Denver,Colorado
6065,CA,Riverside,California
32003,NV,Clark,Nevada
24510,MD,Baltimore,Maryland
29510,MO,St. Louis,Missouri
41051,OR,Multnomah,Oregon
48029,TX,Bexar,Texas
6067,CA,Sacramento,California
48453,TX,Travis,Texas
12095,FL,Orange,Florida
72127,PR,San Juan,Puerto Rico
6085,CA,Santa Clara,California
42003,PA,Allegheny,Pennsylvania
18097,IN,Marion,Indiana
36061,NY,New York,New York
39061,OH,Hamilton,Ohio
29095,MO,Jackson,Missouri
39035,OH,Cuyahoga,Ohio
39049,OH,Franklin,Ohio
36005,NY,Bronx,New York
51810,VA,Virginia Beach,Virginia
37119,NC,Mecklenburg,North Carolina
55079,WI,Milwaukee,Wisconsin
44007,RI,Providence,Rhode Island
12031,FL,Duval,Florida
47037,TN,Davidson,Tennessee
49035,UT,Salt Lake,Utah
37183,NC,Wake,North Carolina
51760,VA,Richmond,Virginia
47157,TN,Shelby,Tennessee
40109,OK,Oklahoma,Oklahoma
9110,CT,Capitol,Connecticut
21111,KY,Jefferson,Kentucky
36029,NY,Erie,New York
22071,LA,Orleans,Louisiana
48439,TX,Tarrant,Texas
9120,CT,Greater Bridgeport,Connecticut
4019,AZ,Pima,Arizona
48141,TX,El Paso,Texas
31055,NE,Douglas,Nebraska
48215,TX,Hidalgo,Texas
1073,AL,Jefferson,Alabama
35001,NM,Bernalillo,New Mexico
40143,OK,Tulsa,Oklahoma
6019,CA,Fresno,California
45019,SC,Charleston,South Carolina
36055,NY,Monroe,New York
39113,OH,Montgomery,Ohio
12071,FL,Lee,Florida
6059,CA,Orange,California
8041,CO,El Paso,Colorado
22033,LA,East Baton Rouge,Louisiana
42077,PA,Lehigh,Pennsylvania
49057,UT,Weber,Utah
49049,UT,Utah,Utah
47093,TN,Knox,Tennessee
26081,MI,Kent,Michigan
45079,SC,Richland,South Carolina
36001,NY,Albany,New York
6029,CA,Kern,California
9170,CT,South Central Connecticut,Connecticut
19153,IA,Polk,Iowa
39153,OH,Summit,Ohio
12009,FL,Brevard,Florida
6013,CA,Contra Costa,California
20173,KS,Sedgwick,Kansas
42043,PA,Dauphin,Pennsylvania
36085,NY,Richmond,New York
39095,OH,Lucas,Ohio
25027,MA,Worcester,Massachusetts
12111,FL,St. Lucie,Florida
5119,AR,Pulaski,Arkansas
32031,NV,Washoe,Nevada
53063,WA,Spokane,Washington
55025,WI,Dane,Wisconsin
16001,ID,Ada,Idaho
48121,TX,Denton,Texas
6001,CA,Alameda,California
25013,MA,Hampden,Massachusetts
13245,GA,Richmond,Georgia
12097,FL,Osceola,Florida
37067,NC,Forsyth,North Carolina
6077,CA,San Joaquin,California
36067,NY,Onondaga,New York
47065,TN,Hamilton,Tennessee
42071,PA,Lancaster,Pennsylvania
45045,SC,Greenville,South Carolina
37063,NC,Durham,North Carolina
12033,FL,Escambia,Florida
5143,AR,Washington,Arkansas
8005,CO,Arapahoe,Colorado
6111,CA,Ventura,California
42069,PA,Lackawanna,Pennsylvania
6071,CA,San Bernardino,California
34021,NJ,Mercer,New Jersey
6099,CA,Stanislaus,California
1089,AL,Madison,Alabama
15003,HI,Honolulu,Hawaii
37081,NC,Guilford,North Carolina
48355,TX,Nueces,Texas
18003,IN,Allen,Indiana
8069,CO,Larimer,Colorado
28049,MS,Hinds,Mississippi
45051,SC,Horry,South Carolina
37051,NC,Cumberland,North Carolina
26065,MI,Ingham,Michigan
21067,KY,Fayette,Kentucky
1097,AL,Mobile,Alabama
39099,OH,Mahoning,Ohio
13051,GA,Chatham,Georgia
36027,NY,Dutchess,New York
26161,MI,Washtenaw,Michigan
27123,MN,Ramsey,Minnesota
34013,NJ,Essex,New Jersey
6097,CA,Sonoma,California
39151,OH,Stark,Ohio
37021,NC,Buncombe,North Carolina
26049,MI,Genesee,Michigan
12105,FL,Polk,Florida
2020,AK,Anchorage,Alaska
31109,NE,Lancaster,Nebraska
37025,NC,Cabarrus,North Carolina
34017,NJ,Hudson,New Jersey
29077,MO,Greene,Missouri
48085,TX,Collin,Texas
22017,LA,Caddo,Louisiana
19163,IA,Scott,Iowa
48303,TX,Lubbock,Texas
18141,IN,St. Joseph,Indiana
17201,IL,Winnebago,Illinois
42011,PA,Berks,Pennsylvania
41039,OR,Lane,Oregon
37129,NC,New Hanover,North Carolina
41047,OR,Marion,Oregon
48027,TX,Bell,Texas
17097,IL,Lake,Illinois
13215,GA,Muscogee,Georgia
53005,WA,Benton,Washington
12103,FL,Pinellas,Florida
12073,FL,Leon,Florida
48479,TX,Webb,Texas
17143,IL,Peoria,Illinois
1101,AL,Montgomery,Alabama
51550,VA,Chesapeake,Virginia
42133,PA,York,Pennsylvania
33011,NH,Hillsborough,New Hampshire
22055,LA,Lafayette,Louisiana
51710,VA,Norfolk,Virginia
51013,VA,Arlington,Virginia
55087,WI,Outagamie,Wisconsin
72005,PR,Aguadilla,Puerto Rico
45091,SC,York,South Carolina
38017,ND,Cass,North Dakota
28047,MS,Harrison,Mississippi
53035,WA,Kitsap,Washington
55009,WI,Brown,Wisconsin
12127,FL,Volusia,Florida
12001,FL,Alachua,Florida
53053,WA,Pierce,Washington
