X,Y,FEMA_Region,Food_Bank_Name,Member_Number,Address,City,State,Zip_Code,Web_Page,Facebook_Page,FID,Status,GlobalID
-8100264.9389,5083471.1369,1,Connecticut Food Bank,56,2 Research Parkway,Wallingford,CT,06492,http://www.ctfoodbank.org,http://www.facebook.com/CTFoodBank,1,Unstable,d08f8f10-b551-48e1-a616-0a762c6d899c
-8095873.7712,5140930.3645,1,Foodshare,144,450 Woodland Avenue,Bloomfield,CT,06002-1342,http://www.foodshare.org,http://www.facebook.com/Foodshare,2,Stable,25cd5db6-ec17-4b57-a8da-afeecc293d24
-8083436.943,5220823.3987,1,The Food Bank of Western Massachusetts,35,97 North Hatfield Road,Hatfield,MA,01038,http://www.foodbankwma.org,http://www.facebook.com/FoodBankofWesternMA,3,Stabilizing,335bcef8-154a-4cf2-bad3-f296042e0978
-7910997.9818,5211109.2354,1,The Greater Boston Food Bank,9,70 South Bay Ave,Boston,MA,02118-2700,http://www.gbfb.org,http://www.facebook.com/gr8bosfoodbank,4,Stabilizing,c6bb0ce5-211f-448a-9fb9-94a14d329b16
-7983968.5526,5202477.7638,1,"Worcester County Food Bank, Inc.",186,474 Boston Turnpike,Shrewsbury,MA,01545,http://www.foodbank.org,http://www.facebook.com/WorcesterFoodbank,5,Stable,90e7c1e9-3763-4f41-9cf9-dd3faf6ed4ba
-7824338.7514,5470121.6912,1,Good Shepherd Food Bank,259,3121 Hotel Road,Auburn,ME,04211-1807,http://www.gsfb.org,http://www.facebook.com/feedingmaine,6,Stable,a7fb2259-509f-4c8f-9c2d-ca5609d7b2a7
-7949176.3548,5308845.8518,1,New Hampshire Food Bank,161,700 East Industrial Park Drive,Manchester,NH,03109,http://www.nhfoodbank.org,http://www.facebook.com/nhfoodbank,7,Stable,89b5f742-9928-4902-b1a8-d74c185fe4ee
-7952431.2079,5130593.683,1,Rhode Island Community Food Bank,94,200 Niantic Ave.,Providence,RI,02907,http://www.rifoodbank.org,http://www.facebook.com/RICFB,8,Stable,42f23bff-61b5-44f7-abd5-ccef3b3cc873
-8068784.4846,5492359.2425,1,Vermont Foodbank,189,33 Parker Road,Barre,VT,05641,http://www.vtfoodbank.org/,http://www.facebook.com/VermontFoodbank,9,Stable,94cfdf26-b41e-490e-83b4-3e83f4387e17
-8261485.1415,4967635.3752,2,Community FoodBank of New Jersey,58,31 Evans Terminal,Hillside,NJ,07205-2400,http://www.cfbnj.org,http://www.facebook.com/communityfoodbankofnj,10,Stable,92090178-3996-498f-a287-f817c68adc0e
-8353388.5751,4863284.7832,2,Food Bank of South Jersey,12,1501 John Tipton Boulevard,Pennsauken,NJ,08110,http://www.foodbanksj.org,http://www.facebook.com/foodbankofsouthjersey,11,Stabilizing,cb077ca1-9dec-45ad-942a-34a4472a003d
-8244462.8639,4899298.4058,2,"FULFILL - (The FoodBank of Monmouth and Ocean Counties, Inc.)",310,3300 Route 66,Neptune,NJ,07753,http://www.fulfillnj.org,http://www.facebook.com/fulfillnj/,12,Stable,da8f15fc-4446-4a4c-879d-c4514ca4479c
-8235949.7459,4975070.3768,2,City Harvest,297,"6 East 32nd Street, 5th Fl.",New York,NY,10016,http://www.cityharvest.org,http://www.facebook.com/CityHarvestNYC,13,Stable,f053bcc2-ac20-436c-ba44-4bbe348e5667
-8223391.1671,4984107.5151,2,Food Bank For New York City,10,355 Food Center Dr.,New York,NY,10474,http://www.foodbanknyc.org,http://www.facebook.com/foodbanknyc,14,Stabilizing,dd4d58d8-7f2a-4a7a-8409-316d573ea300
