fips_code,state_name,county_name,crime_rate_per_100000,murder,rape,robbery,burglary,poverty_percentage,poverty_percentage_under_18,poverty_percentage_5_17,unemployment_rate_2022,unemployment_rate_2021,pct_no_hs_degree_18_22,pct_no_hs_degree_2000,population_estimate_2022
29510,Missouri,St. Louis,1791.995377,119,200,1778,4995,21.5,33.0,34.3,3.1,5.9,24.677691622764712,27.5,286193
48261,Texas,Kenedy,1456.31068,0,3,1,5,14.2,23.4,18.9,6.100000000000001,5.9,21.83908045977012,21.8,354
24510,Maryland,Baltimore,1419.537569,216,317,3638,7804,22.9,33.8,32.1,4.3,7.0,28.165549789016165,28.2,569107
47157,Tennessee,Shelby,1315.003752,135,483,3512,14011,18.0,23.9,23.0,4.5,7.0,27.58408974812369,26.2,916357
29201,Missouri,Scott,1163.145839,2,7,26,236,15.9,23.1,22.3,2.4,3.7,38.29407427529202,42.7,37868
42101,Pennsylvania,Philadelphia,1150.29633,332,881,7984,12004,22.3,32.7,32.6,5.4,8.5,30.32562944261164,33.3,1566836
47113,Tennessee,Madison,1138.42383,13,33,196,1300,17.1,25.0,24.5,3.4,4.7,33.75404287326062,30.8,99172
26163,Michigan,Wayne,1065.188284,433,803,5879,19882,19.6,28.5,27.2,4.600000000000001,7.800000000000001,29.555911364786503,30.6,1758942
2188,Alaska,Northwest Arctic,1014.964216,0,23,12,46,20.9,28.4,25.3,9.0,11.5,46.19385342789598,40.4,7453
29155,Missouri,Pemiscot,998.7095326,0,6,21,192,23.7,35.5,35.7,3.8,6.800000000000001,48.1236632315769,33.8,14865
5119,Arkansas,Pulaski,959.9165823,61,179,1058,7065,17.6,24.9,24.6,3.5,4.9,25.2900805912734,27.1,399387
40101,Oklahoma,Muskogee,954.4400666,3,34,41,878,19.2,27.1,25.0,3.5,4.5,34.32613551749814,31.9,66307
22105,Louisiana,Tangipahoa,952.8593755,11,64,185,2683,17.8,25.4,24.1,4.3,6.5,35.929628148740505,34.3,136799
4019,Arizona,Pima,930.0694974,4,42,37,450,14.7,20.4,19.7,3.8,5.100000000000001,21.452336485678416,23.3,1057476
27133,Minnesota,Rock,892.8571429,0,0,0,9,9.7,11.4,10.3,1.7,2.1,33.40012330456227,35.7,9554
19155,Iowa,Pottawattamie,873.5225606,1,79,83,1166,12.3,15.1,14.0,2.8,3.8,33.6460346642782,39.3,93065
