,X,Y,FID,Food_Bank_Name,Address,City,Status,latitude,longitude,County,fips_code
0,-8100264.9389,5083471.1369,1,Connecticut Food Bank,2 Research Parkway,Wallingford,Unstable,41.48046899977454,-72.76591800031352,New Haven County,09009
1,-8095873.7712,5140930.3645,2,Foodshare,450 Woodland Avenue,Bloomfield,Stable,41.86601594819823,-72.72647146971309,Hartford County,09003
2,-8083436.943,5220823.3987,3,The Food Bank of Western Massachusetts,97 North Hatfield Road,Hatfield,Stabilizing,42.39825060317073,-72.61474954113281,Hampshire County,25015
3,-7910997.9818,5211109.2354,4,The Greater Boston Food Bank,70 South Bay Ave,Boston,Stabilizing,42.33377528997248,-71.06570399689627,Suffolk County,25025
4,-7983968.5526,5202477.7638,5,"Worcester County Food Bank, Inc.",474 Boston Turnpike,Shrewsbury,Stable,42.27643055511521,-71.72120978730193,Worcester County,25027
5,-7824338.7514,5470121.6912,6,Good Shepherd Food Bank,3121 Hotel Road,Auburn,Stable,44.03023099042103,-70.28723088511272,Androscoggin County,23001
6,-7949176.3548,5308845.8518,7,New Hampshire Food Bank,700 East Industrial Park Drive,Manchester,Stable,42.9794592107247,-71.40866615678344,Hillsborough County,33011
7,-7952431.2079,5130593.683,8,Rhode Island Community Food Bank,200 Niantic Ave.,Providence,Stable,41.79682800009679,-71.43790499965637,Providence County,44007
8,-8068784.4846,5492359.2425,9,Vermont Foodbank,33 Parker Road,Barre,Stable,44.173681431057524,-72.48312426782635,Washington County,50023
9,-8261485.1415,4967635.3752,10,Community FoodBank of New Jersey,31 Evans Terminal,Hillside,Stable,40.69620950968997,-74.21418372135777,Union County,34039
10,-8353388.5751,4863284.7832,11,Food Bank of South Jersey,1501 John Tipton Boulevard,Pennsauken,Stabilizing,39.98171000548376,-75.0397663120172,Camden County,34007
11,-8244462.8639,4899298.4058,12,"FULFILL - (The FoodBank of Monmouth and Ocean Counties, Inc.)",3300 Route 66,Neptune,Stable,40.22915400033551,-74.06126999997171,Monmouth County,34025
12,-8235949.7459,4975070.3768,13,City Harvest,"6 East 32nd Street, 5th Fl.",New York,Stable,40.746828751364525,-73.9847953598226,New York County,36061
13,-8223391.1671,4984107.5151,14,Food Bank For New York City,355 Food Center Dr.,New York,Stabilizing,40.80830387754951,-73.871979726994,Bronx County,36005
14,-8216936.7113,5023027.5126,15,Feeding Westchester,200 Clearbrook Road,Elmsford,Stabilizing,41.0724067247381,-73.81399836403585,Westchester County,36119
15,-8491030.0313,5328930.2227,16,Food Bank of Central New York,7066 Interstate Island Road,Syracuse,Stable,43.111313166202756,-76.2762205503465,Onondaga County,36067
